serial,name,cost,rating,exchangevalue,discount
1,"realme 9 5G (Stargaze White, 128 GB)","₹17,499",4.3,"₹12,500",16% off
2,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹9,499",4.3,"₹8,750",26% off
3,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹10,499",4.3,"₹9,750",30% off
4,"realme 9 5G (Meteor Black, 64 GB)","₹15,999",4.4,"₹12,500",15% off
5,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹9,499",4.3,"₹8,750",26% off
6,"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹12,999",4.4,"₹12,000",23% off
7,"POCO C31 (Royal Blue, 64 GB)","₹8,499",4.4,"₹7,750",29% off
8,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹9,499",4.3,"₹8,750",26% off
9,"realme 9 5G (Stargaze White, 64 GB)","₹15,999",4.4,"₹12,500",15% off
10,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹10,499",4.3,"₹9,750",30% off
11,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",4.4,"₹9,250",33% off
12,"REDMI Note 10S (Cosmic Purple, 64 GB)","₹12,999",4.4,"₹12,000",23% off
13,"realme 9 5G (Meteor Black, 128 GB)","₹17,499",4.3,"₹12,500",16% off
14,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799",4.4,"₹8,250",12% off
15,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799",4.4,"₹8,250",12% off
16,"REDMI 10 (Midnight Black, 64 GB)","₹9,999",4.4,"₹9,250",33% off
17,"realme C35 (Glowing Green, 64 GB)","₹11,999",4.4,"₹11,250",14% off
18,"POCO C31 (Royal Blue, 32 GB)","₹7,499",4.4,"₹6,750",31% off
19,"POCO C31 (Shadow Gray, 64 GB)","₹8,499",4.4,"₹7,750",29% off
20,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹11,999",4.4,"₹11,250",29% off
21,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,499",4.3,"₹8,499",29% off
22,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,499",4.3,"₹7,750",29% off
23,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,499",4.3,"₹7,750",29% off
24,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹12,499",4.3,"₹11,750",26% off